COUNTRIES,REGIONS,Years,Sales Value
COLOMBIA,CENTRAL & SOUTH AMERICA,2008,180000
COLOMBIA,CENTRAL & SOUTH AMERICA,2009,170000
COLOMBIA,CENTRAL & SOUTH AMERICA,2010,250000
COLOMBIA,CENTRAL & SOUTH AMERICA,2011,250000
COLOMBIA,CENTRAL & SOUTH AMERICA,2012,240000
COLOMBIA,CENTRAL & SOUTH AMERICA,2013,238800
COLOMBIA,CENTRAL & SOUTH AMERICA,2014,265100
COSTA RICA,CENTRAL & SOUTH AMERICA,2005,13000
COSTA RICA,CENTRAL & SOUTH AMERICA,2006,15000
COSTA RICA,CENTRAL & SOUTH AMERICA,2007,13000
COSTA RICA,CENTRAL & SOUTH AMERICA,2008,15000
COSTA RICA,CENTRAL & SOUTH AMERICA,2009,12000
COSTA RICA,CENTRAL & SOUTH AMERICA,2010,20000
COSTA RICA,CENTRAL & SOUTH AMERICA,2011,30000
COSTA RICA,CENTRAL & SOUTH AMERICA,2012,30000
COSTA RICA,CENTRAL & SOUTH AMERICA,2013,29800
COSTA RICA,CENTRAL & SOUTH AMERICA,2014,35200
CUBA,CENTRAL & SOUTH AMERICA,2005,2000
CUBA,CENTRAL & SOUTH AMERICA,2006,2000
CUBA,CENTRAL & SOUTH AMERICA,2007,3000
CUBA,CENTRAL & SOUTH AMERICA,2008,3000
CUBA,CENTRAL & SOUTH AMERICA,2009,1500
CUBA,CENTRAL & SOUTH AMERICA,2010,2000
CUBA,CENTRAL & SOUTH AMERICA,2011,3000
CUBA,CENTRAL & SOUTH AMERICA,2012,4000
CUBA,CENTRAL & SOUTH AMERICA,2013,4000
CUBA,CENTRAL & SOUTH AMERICA,2014,4000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2005,16000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2006,16000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2007,18000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2008,20000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2009,8000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2010,15000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2011,15000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2012,15000
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2013,14900
DOMINICAN REPUBLIC,CENTRAL & SOUTH AMERICA,2014,17400
ECUADOR,CENTRAL & SOUTH AMERICA,2005,54342
ECUADOR,CENTRAL & SOUTH AMERICA,2006,58900
ECUADOR,CENTRAL & SOUTH AMERICA,2007,58334
ECUADOR,CENTRAL & SOUTH AMERICA,2008,69556
ECUADOR,CENTRAL & SOUTH AMERICA,2009,60596
ECUADOR,CENTRAL & SOUTH AMERICA,2010,90250
ECUADOR,CENTRAL & SOUTH AMERICA,2011,94297
ECUADOR,CENTRAL & SOUTH AMERICA,2012,80644
ECUADOR,CENTRAL & SOUTH AMERICA,2013,74169
ECUADOR,CENTRAL & SOUTH AMERICA,2014,78495
EL SALVADOR,CENTRAL & SOUTH AMERICA,2005,4000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2006,6000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2007,8000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2008,10000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2009,2000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2010,3000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2011,3000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2012,5000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2013,5000
EL SALVADOR,CENTRAL & SOUTH AMERICA,2014,5000
GUADELOUPE,CENTRAL & SOUTH AMERICA,2005,14359
GUADELOUPE,CENTRAL & SOUTH AMERICA,2006,13562
GUADELOUPE,CENTRAL & SOUTH AMERICA,2007,15539
GUADELOUPE,CENTRAL & SOUTH AMERICA,2008,14295
GUADELOUPE,CENTRAL & SOUTH AMERICA,2009,14084
GUADELOUPE,CENTRAL & SOUTH AMERICA,2010,13480
GUADELOUPE,CENTRAL & SOUTH AMERICA,2011,13695
GUADELOUPE,CENTRAL & SOUTH AMERICA,2012,13158
GUADELOUPE,CENTRAL & SOUTH AMERICA,2013,12427
GUADELOUPE,CENTRAL & SOUTH AMERICA,2014,12599
GUATEMALA,CENTRAL & SOUTH AMERICA,2005,8100
GUATEMALA,CENTRAL & SOUTH AMERICA,2006,9400
GUATEMALA,CENTRAL & SOUTH AMERICA,2007,12100
GUATEMALA,CENTRAL & SOUTH AMERICA,2008,12800
GUATEMALA,CENTRAL & SOUTH AMERICA,2009,13000
GUATEMALA,CENTRAL & SOUTH AMERICA,2010,14100
GUATEMALA,CENTRAL & SOUTH AMERICA,2011,15000
GUATEMALA,CENTRAL & SOUTH AMERICA,2012,16000
GUATEMALA,CENTRAL & SOUTH AMERICA,2013,15900
GUATEMALA,CENTRAL & SOUTH AMERICA,2014,17300
GUYANA,CENTRAL & SOUTH AMERICA,2005,4085
GUYANA,CENTRAL & SOUTH AMERICA,2006,4071
GUYANA,CENTRAL & SOUTH AMERICA,2007,4437
GUYANA,CENTRAL & SOUTH AMERICA,2008,4357
GUYANA,CENTRAL & SOUTH AMERICA,2009,4446
GUYANA,CENTRAL & SOUTH AMERICA,2010,4393
GUYANA,CENTRAL & SOUTH AMERICA,2011,4719
GUYANA,CENTRAL & SOUTH AMERICA,2012,4357
GUYANA,CENTRAL & SOUTH AMERICA,2013,4256
GUYANA,CENTRAL & SOUTH AMERICA,2014,4248
HONDURAS,CENTRAL & SOUTH AMERICA,2005,4800
HONDURAS,CENTRAL & SOUTH AMERICA,2006,5600
HONDURAS,CENTRAL & SOUTH AMERICA,2007,7100
HONDURAS,CENTRAL & SOUTH AMERICA,2008,8000
HONDURAS,CENTRAL & SOUTH AMERICA,2009,6000
HONDURAS,CENTRAL & SOUTH AMERICA,2010,1000
HONDURAS,CENTRAL & SOUTH AMERICA,2011,1000
HONDURAS,CENTRAL & SOUTH AMERICA,2012,1000
HONDURAS,CENTRAL & SOUTH AMERICA,2013,1000
HONDURAS,CENTRAL & SOUTH AMERICA,2014,1300
JAMAICA,CENTRAL & SOUTH AMERICA,2005,3000
JAMAICA,CENTRAL & SOUTH AMERICA,2006,3000
JAMAICA,CENTRAL & SOUTH AMERICA,2007,3000
JAMAICA,CENTRAL & SOUTH AMERICA,2008,3000
JAMAICA,CENTRAL & SOUTH AMERICA,2009,4000
JAMAICA,CENTRAL & SOUTH AMERICA,2010,2000
JAMAICA,CENTRAL & SOUTH AMERICA,2011,2000
JAMAICA,CENTRAL & SOUTH AMERICA,2012,2000
JAMAICA,CENTRAL & SOUTH AMERICA,2013,2000
JAMAICA,CENTRAL & SOUTH AMERICA,2014,2300
MARTINIQUE,CENTRAL & SOUTH AMERICA,2005,14749
MARTINIQUE,CENTRAL & SOUTH AMERICA,2006,14132
MARTINIQUE,CENTRAL & SOUTH AMERICA,2007,14666
MARTINIQUE,CENTRAL & SOUTH AMERICA,2008,13679
MARTINIQUE,CENTRAL & SOUTH AMERICA,2009,13142
MARTINIQUE,CENTRAL & SOUTH AMERICA,2010,13187
MARTINIQUE,CENTRAL & SOUTH AMERICA,2011,12976
MARTINIQUE,CENTRAL & SOUTH AMERICA,2012,11527
MARTINIQUE,CENTRAL & SOUTH AMERICA,2013,11091
MARTINIQUE,CENTRAL & SOUTH AMERICA,2014,11325
NICARAGUA,CENTRAL & SOUTH AMERICA,2005,3000
NICARAGUA,CENTRAL & SOUTH AMERICA,2006,6000
NICARAGUA,CENTRAL & SOUTH AMERICA,2007,6000
NICARAGUA,CENTRAL & SOUTH AMERICA,2008,6000
NICARAGUA,CENTRAL & SOUTH AMERICA,2009,4000
NICARAGUA,CENTRAL & SOUTH AMERICA,2010,3000
NICARAGUA,CENTRAL & SOUTH AMERICA,2011,3000
NICARAGUA,CENTRAL & SOUTH AMERICA,2012,3000
NICARAGUA,CENTRAL & SOUTH AMERICA,2013,4000
NICARAGUA,CENTRAL & SOUTH AMERICA,2014,5200
PANAMA,CENTRAL & SOUTH AMERICA,2005,10000
PANAMA,CENTRAL & SOUTH AMERICA,2006,15000
PANAMA,CENTRAL & SOUTH AMERICA,2007,22000
PANAMA,CENTRAL & SOUTH AMERICA,2008,30000
PANAMA,CENTRAL & SOUTH AMERICA,2009,25000
PANAMA,CENTRAL & SOUTH AMERICA,2010,30000
PANAMA,CENTRAL & SOUTH AMERICA,2011,35000
PANAMA,CENTRAL & SOUTH AMERICA,2012,40000
PANAMA,CENTRAL & SOUTH AMERICA,2013,39800
PANAMA,CENTRAL & SOUTH AMERICA,2014,43000
PARAGUAY,CENTRAL & SOUTH AMERICA,2005,3000
PARAGUAY,CENTRAL & SOUTH AMERICA,2006,5000
PARAGUAY,CENTRAL & SOUTH AMERICA,2007,6000
PARAGUAY,CENTRAL & SOUTH AMERICA,2008,12000
PARAGUAY,CENTRAL & SOUTH AMERICA,2009,7000
PARAGUAY,CENTRAL & SOUTH AMERICA,2010,11000
PARAGUAY,CENTRAL & SOUTH AMERICA,2011,20000
PARAGUAY,CENTRAL & SOUTH AMERICA,2012,20000
PARAGUAY,CENTRAL & SOUTH AMERICA,2013,19900
PARAGUAY,CENTRAL & SOUTH AMERICA,2014,21500
PERU,CENTRAL & SOUTH AMERICA,2005,14231
PERU,CENTRAL & SOUTH AMERICA,2006,20061
PERU,CENTRAL & SOUTH AMERICA,2007,28430
PERU,CENTRAL & SOUTH AMERICA,2008,55312
PERU,CENTRAL & SOUTH AMERICA,2009,48775
PERU,CENTRAL & SOUTH AMERICA,2010,73858
PERU,CENTRAL & SOUTH AMERICA,2011,93055
PERU,CENTRAL & SOUTH AMERICA,2012,128295
PERU,CENTRAL & SOUTH AMERICA,2013,139453
PERU,CENTRAL & SOUTH AMERICA,2014,138226
PUERTO RICO,CENTRAL & SOUTH AMERICA,2005,96000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2006,85000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2007,92000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2008,65000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2009,65000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2010,45000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2011,55000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2012,55000
PUERTO RICO,CENTRAL & SOUTH AMERICA,2013,54700
PUERTO RICO,CENTRAL & SOUTH AMERICA,2014,58500
TRINIDAD,CENTRAL & SOUTH AMERICA,2005,10000
TRINIDAD,CENTRAL & SOUTH AMERICA,2006,10000
TRINIDAD,CENTRAL & SOUTH AMERICA,2007,5000
TRINIDAD,CENTRAL & SOUTH AMERICA,2008,10000
TRINIDAD,CENTRAL & SOUTH AMERICA,2009,10000
TRINIDAD,CENTRAL & SOUTH AMERICA,2010,10000
TRINIDAD,CENTRAL & SOUTH AMERICA,2011,10000
TRINIDAD,CENTRAL & SOUTH AMERICA,2012,8000
TRINIDAD,CENTRAL & SOUTH AMERICA,2013,8000
TRINIDAD,CENTRAL & SOUTH AMERICA,2014,6300
URUGUAY,CENTRAL & SOUTH AMERICA,2005,10000
URUGUAY,CENTRAL & SOUTH AMERICA,2006,10000
URUGUAY,CENTRAL & SOUTH AMERICA,2007,12000
URUGUAY,CENTRAL & SOUTH AMERICA,2008,15000
URUGUAY,CENTRAL & SOUTH AMERICA,2009,30000
URUGUAY,CENTRAL & SOUTH AMERICA,2010,40000
URUGUAY,CENTRAL & SOUTH AMERICA,2011,38308
URUGUAY,CENTRAL & SOUTH AMERICA,2012,38109
URUGUAY,CENTRAL & SOUTH AMERICA,2013,41785
URUGUAY,CENTRAL & SOUTH AMERICA,2014,40171
VENEZUELA,CENTRAL & SOUTH AMERICA,2005,128601
VENEZUELA,CENTRAL & SOUTH AMERICA,2006,184108
VENEZUELA,CENTRAL & SOUTH AMERICA,2007,267932
VENEZUELA,CENTRAL & SOUTH AMERICA,2008,135882
VENEZUELA,CENTRAL & SOUTH AMERICA,2009,67047
VENEZUELA,CENTRAL & SOUTH AMERICA,2010,68210
VENEZUELA,CENTRAL & SOUTH AMERICA,2011,65339
VENEZUELA,CENTRAL & SOUTH AMERICA,2012,60776
VENEZUELA,CENTRAL & SOUTH AMERICA,2013,43887
VENEZUELA,CENTRAL & SOUTH AMERICA,2014,10430
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2005,608804
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2006,598394
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2007,637019
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2008,596765
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2009,540562
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2010,592122
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2011,559314
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2012,576855
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2013,566454
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,2014,531596
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2005,12100
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2006,13000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2007,15000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2008,15000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2009,10000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2010,13000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2011,10000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2012,14000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2013,21000
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,2014,23300
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2005,18000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2006,18000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2007,20000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2008,30000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2009,28000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2010,29000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2011,26000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2012,40000
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2013,43500
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,2014,49600
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2005,6500
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2006,9000
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2007,12000
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2008,17000
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2009,21500
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2010,20700
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2011,20800
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2012,24600
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2013,24000
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,2014,29300
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2005,15000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2006,15000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2007,10000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2008,15000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2009,10000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2010,10000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2011,15000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2012,15000
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2013,14700
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,2014,18100
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2005,1000
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2006,1000
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2007,1500
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2008,1500
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2009,1500
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2010,1500
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2011,2000
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2012,2000
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2013,2000
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,2014,2400
CHINA,ASIA/OCEANIA/MIDDLE EAST,2005,3971101
CHINA,ASIA/OCEANIA/MIDDLE EAST,2006,5175961
CHINA,ASIA/OCEANIA/MIDDLE EAST,2007,6297538
CHINA,ASIA/OCEANIA/MIDDLE EAST,2008,6755609
CHINA,ASIA/OCEANIA/MIDDLE EAST,2009,10331315
CHINA,ASIA/OCEANIA/MIDDLE EAST,2010,13757794
CHINA,ASIA/OCEANIA/MIDDLE EAST,2011,14472416
CHINA,ASIA/OCEANIA/MIDDLE EAST,2012,15495240
CHINA,ASIA/OCEANIA/MIDDLE EAST,2013,17927730
CHINA,ASIA/OCEANIA/MIDDLE EAST,2014,19700569
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2005,27483
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2006,27877
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2007,33462
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2008,35182
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2009,28797
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2010,41638
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2011,44845
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2012,45283
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2013,46147
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,2014,48500
INDIA,ASIA/OCEANIA/MIDDLE EAST,2005,1106863
INDIA,ASIA/OCEANIA/MIDDLE EAST,2006,1311373
INDIA,ASIA/OCEANIA/MIDDLE EAST,2007,1511812
INDIA,ASIA/OCEANIA/MIDDLE EAST,2008,1545414
INDIA,ASIA/OCEANIA/MIDDLE EAST,2009,1816878
INDIA,ASIA/OCEANIA/MIDDLE EAST,2010,2387197
INDIA,ASIA/OCEANIA/MIDDLE EAST,2011,2510313
INDIA,ASIA/OCEANIA/MIDDLE EAST,2012,2781919
INDIA,ASIA/OCEANIA/MIDDLE EAST,2013,2553979
INDIA,ASIA/OCEANIA/MIDDLE EAST,2014,2570531
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2005,364319
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2006,222387
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2007,314769
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2008,425267
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2009,359367
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2010,541475
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2011,602291
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2012,780785
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2013,880032
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,2014,879461
IRAK,ASIA/OCEANIA/MIDDLE EAST,2005,2000
IRAK,ASIA/OCEANIA/MIDDLE EAST,2006,5000
IRAK,ASIA/OCEANIA/MIDDLE EAST,2007,4000
IRAK,ASIA/OCEANIA/MIDDLE EAST,2008,20000
IRAK,ASIA/OCEANIA/MIDDLE EAST,2009,35000
IRAK,ASIA/OCEANIA/MIDDLE EAST,2010,65000
IRAK,ASIA/OCEANIA/MIDDLE EAST,2011,71500
IRAK,ASIA/OCEANIA/MIDDLE EAST,2012,80000
IRAK,ASIA/OCEANIA/MIDDLE EAST,2013,78200
IRAK,ASIA/OCEANIA/MIDDLE EAST,2014,61000
IRAN,ASIA/OCEANIA/MIDDLE EAST,2005,730000
IRAN,ASIA/OCEANIA/MIDDLE EAST,2006,850000
IRAN,ASIA/OCEANIA/MIDDLE EAST,2007,900000
IRAN,ASIA/OCEANIA/MIDDLE EAST,2008,1000000
IRAN,ASIA/OCEANIA/MIDDLE EAST,2009,1100000
IRAN,ASIA/OCEANIA/MIDDLE EAST,2010,1410403
IRAN,ASIA/OCEANIA/MIDDLE EAST,2011,1452965
IRAN,ASIA/OCEANIA/MIDDLE EAST,2012,901268
IRAN,ASIA/OCEANIA/MIDDLE EAST,2013,691709
IRAN,ASIA/OCEANIA/MIDDLE EAST,2014,1106700
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2005,130000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2006,130000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2007,200000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2008,170000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2009,160000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2010,200000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2011,210000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2012,190000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2013,200000
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,2014,228000
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2005,4748482
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2006,4612318
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2007,4325508
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2008,4184266
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2009,3905310
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2010,4203181
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2011,3509036
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2012,4572333
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2013,4562282
JAPAN,ASIA/OCEANIA/MIDDLE EAST,2014,4699590
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2005,10000
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2006,5000
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2007,5000
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2008,9000
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2009,10500
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2010,10000
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2011,11000
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2012,11500
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2013,14500
JORDAN,ASIA/OCEANIA/MIDDLE EAST,2014,15700
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2005,39800
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2006,39100
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2007,39500
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2008,39000
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2009,40000
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2010,24000
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2011,38348
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2012,86959
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2013,153664
KAZAKSTAN,ASIA/OCEANIA/MIDDLE EAST,2014,151424
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2005,5000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2006,5000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2007,5000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2008,4000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2009,4500
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2010,4000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2011,5000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2012,4000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2013,4000
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,2014,4000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2005,50000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2006,65000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2007,70000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2008,80000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2009,90000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2010,90000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2011,95000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2012,116500
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2013,125000
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,2014,126300
LAOS,ASIA/OCEANIA/MIDDLE EAST,2005,1000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2006,1000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2007,1500
LAOS,ASIA/OCEANIA/MIDDLE EAST,2008,2000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2009,3000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2010,4000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2011,4000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2012,5000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2013,6000
LAOS,ASIA/OCEANIA/MIDDLE EAST,2014,9800
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2005,15000
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2006,15000
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2007,20000
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2008,33000
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2009,32000
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2010,33000
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2011,31000
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2012,35500
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2013,35500
LEBANON,ASIA/OCEANIA/MIDDLE EAST,2014,38300
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2005,410892
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2006,374169
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2007,442885
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2008,497459
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2009,486342
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2010,543594
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2011,535113
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2012,552189
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2013,576657
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,2014,588341
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,2005,500
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,2006,500
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,2007,1000
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,2008,3000
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,2009,3000
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,2010,3000
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,2011,3000
